"Area","Inhabitants, total, 2018 (HE)","0-2 years, 2018 (HE)","3-6 years, 2018 (HE)","7-12 years, 2018 (HE)","13-15 years, 2018 (HE)","16-17 years, 2018 (HE)","18-19 years, 2018 (HE)","20-24 years, 2018 (HE)","25-29 years, 2018 (HE)","30-34 years, 2018 (HE)","35-39 years, 2018 (HE)","40-44 years, 2018 (HE)","45-49 years, 2018 (HE)","50-54 years, 2018 (HE)","55-59 years, 2018 (HE)","60-64 years, 2018 (HE)","65-69 years, 2018 (HE)","70-74 years, 2018 (HE)","75-79 years, 2018 (HE)","80-84 years, 2018 (HE)","85 years or over, 2018 (HE)","Average floor area, 2018 (RA)"
"Närpes",9471,301,394,585,244,186,166,428,513,526,533,506,548,604,631,583,662,699,468,375,519,100.2
"Jakobstad",19278,548,742,1316,649,471,433,1057,1136,1060,1072,1078,1169,1256,1180,1182,1287,1304,948,710,680,83.9
"Pedersöre",11016,461,682,1117,518,322,303,650,675,603,684,613,610,597,613,590,587,560,347,227,257,111.7
"Nykarleby",7455,227,371,601,231,152,161,322,425,467,452,403,457,423,414,476,514,486,342,258,273,98.2
"Vaasa",67552,1904,2890,4350,2129,1410,1668,6253,5346,4616,4423,4013,3592,3981,3776,3790,3867,3512,2351,1863,1818,74.5
"Vöyri",6613,208,331,492,216,138,134,289,350,382,360,359,369,386,446,477,457,430,290,217,282,101.3
"Halsua",1165,21,44,64,35,25,31,51,41,49,51,51,68,74,89,79,121,89,58,69,55,100.8
"Kannus",5502,194,285,395,223,156,144,245,288,291,273,316,288,339,400,406,395,337,225,142,160,93.5
"Kaustinen",4273,139,238,334,159,96,82,188,218,275,296,248,213,265,263,294,286,249,179,125,126,100.0
"Kokkola",47657,1602,2483,3778,1715,1137,1142,2736,2772,2969,2899,2827,2597,2894,2895,2845,3109,2960,1772,1265,1260,90.1
"Lestijärvi",737,20,28,39,23,20,19,24,24,33,23,27,36,39,87,61,75,59,36,27,37,96.1
"Perho",2825,131,188,314,147,86,75,120,118,153,154,120,95,134,154,183,221,166,101,86,79,100.7
"Toholampi",3112,93,147,264,140,88,81,103,140,124,135,164,146,207,230,227,217,234,147,114,111,100.1
"Veteli",3166,69,134,244,95,70,52,135,119,134,185,165,162,182,218,278,287,213,147,143,134,99.9
"Alavieska",2573,73,144,215,109,69,63,126,124,117,137,117,125,174,180,191,177,129,99,109,95,97.2
"Haapajärvi",7147,227,326,582,312,215,191,307,329,303,390,338,372,487,541,548,527,451,278,225,198,90.5
"Haapavesi",6854,224,396,599,302,197,177,301,337,340,402,361,330,394,444,521,502,381,235,228,183,93.5
"Hailuoto",974,25,35,59,20,14,9,29,17,36,40,48,54,64,78,80,101,112,77,45,31,94.0
"Ii",9862,358,601,979,471,288,214,361,421,529,573,578,504,616,737,622,649,483,335,279,264,95.8
"Kalajoki",12387,354,606,980,512,293,267,498,580,625,692,673,691,806,846,894,951,810,526,398,385,99.6
"Kempele",17923,721,1153,1880,853,517,438,777,894,1102,1354,1268,1166,1145,993,912,883,758,533,363,213,94.9
"Kuusamo",15207,360,581,1015,517,320,315,540,643,699,781,771,750,1126,1346,1412,1285,937,777,564,468,87.7
"Kärsämäki",2613,74,121,217,108,74,60,92,112,118,118,123,129,172,189,215,192,168,131,111,89,88.7
"Liminka",10161,478,933,1468,676,414,286,313,428,627,775,849,657,512,392,346,347,241,186,112,121,109.6
"Lumijoki",2052,88,145,268,130,68,41,83,91,93,138,119,98,102,109,117,135,80,61,49,37,103.9
"Merijärvi",1104,58,79,94,48,37,31,49,71,52,35,38,42,70,70,78,82,65,33,32,40,94.7
"Muhos",8980,327,588,934,480,294,199,322,403,486,586,604,463,569,607,569,500,367,254,205,223,96.8
"Nivala",10737,396,686,1078,501,328,280,501,520,601,670,541,496,542,590,680,742,551,392,316,326,96.9
"Oulainen",7430,214,347,598,294,205,217,319,335,363,399,374,360,442,492,591,515,496,309,260,300,89.0
